Frame,Prediction,Confidence,FPS
827,crocodile,0.8256,0.79
828,crocodile,0.7483,0.73
829,crocodile,0.7091,0.89
830,crocodile,0.6772,0.88
831,crocodile,0.8469,0.81
832,crocodile,0.7486,0.75
833,crocodile,0.8049,0.89
834,crocodile,0.686,0.87
835,crocodile,0.7743,0.72
836,crocodile,0.8369,0.76
837,crocodile,0.8831,0.89
838,crocodile,0.8714,0.78
839,crocodile,0.8812,0.9
840,crocodile,0.8629,0.77
841,crocodile,0.6779,0.92
842,crocodile,0.7195,0.78
843,crocodile,0.6885,0.88
844,crocodile,0.6622,0.8
845,crocodile,0.6713,0.89
846,crocodile,0.7133,0.77
847,crocodile,0.6831,0.88
848,crocodile,0.6652,0.74
849,crocodile,0.6573,0.74
850,crocodile,0.6943,0.7
851,crocodile,0.6815,0.8
